"item","imdb","itemLabel","itemDescription","article"
"http://www.wikidata.org/entity/Q1262191","tt16347290","Q1262191","1988 film by Jörg Foth and Tran Vu",NA
"http://www.wikidata.org/entity/Q3319350","tt0151607","Mokhtar","1968 film by Sadok Ben Aicha",NA
"http://www.wikidata.org/entity/Q4234382","tt0175824","Kortik","1954 film by Vladimir Vengerov",NA
"http://www.wikidata.org/entity/Q4766950","tt0250669","Priehrada","1950 film by Paľo Bielik",NA
"http://www.wikidata.org/entity/Q9556517","tt0236083","A Carrocinha","1955 film",NA
"http://www.wikidata.org/entity/Q12043716","tt0170352","The Virgin","1940 film by František Čáp",NA
"http://www.wikidata.org/entity/Q12290871","tt0300349","Q12290871","1991 film by Borislav Sharaliev",NA
"http://www.wikidata.org/entity/Q12762003","tt0236962","The Edelstein Action","1986 film directed by Zoro Záhon",NA
"http://www.wikidata.org/entity/Q12768004","tt0322835","Jergus Lapin","1960 film",NA
"http://www.wikidata.org/entity/Q13396471","tt0238086","Q13396471","1977 film",NA
"http://www.wikidata.org/entity/Q14757056","tt0405908","Fadime","1970 film",NA
"http://www.wikidata.org/entity/Q16142021","tt0187776","A Cartomante","1974 film directed by Marcos Farias",NA
"http://www.wikidata.org/entity/Q16346039","tt1503767","Britter Bairey","film directed by Golam Rabbany Biplob",NA
"http://www.wikidata.org/entity/Q16388405","tt0302890","On the Old Roman Road","2001 film directed by Don Askarian",NA
"http://www.wikidata.org/entity/Q18809325","tt0355660","Kokkarakko","1995 film",NA
"http://www.wikidata.org/entity/Q21685047","tt0097919","Q21685047","1990 fiction film",NA
"http://www.wikidata.org/entity/Q25522232","tt0445527","Libahunt","1968 film directed by Leida Laius",NA
"http://www.wikidata.org/entity/Q26830598","tt6002238","Cinema Futures","2016 film by Michael Palm",NA
"http://www.wikidata.org/entity/Q29625523","tt0202466","Maria Stuart","1959 film by Hannes Fischer",NA
"http://www.wikidata.org/entity/Q38876356","tt7028140","Čertí brko","2018 film directed by Marek Najbrt",NA
"http://www.wikidata.org/entity/Q56241574","tt9588404","Reguechicken","Colombian animated film 2015",NA
"http://www.wikidata.org/entity/Q56599646","tt0371375","Q56599646","1971 film by Claus Dobberke",NA
"http://www.wikidata.org/entity/Q56641291","tt6449410","El Coco","2016 film by Juan Camilo Pinzón",NA
"http://www.wikidata.org/entity/Q56650400","tt0388173","A Stone´s Throw","1977 film by Claus Dobberke",NA
"http://www.wikidata.org/entity/Q59315826","tt10474386","El man del porno","film",NA
"http://www.wikidata.org/entity/Q59579047","tt9303508","Q59579047","film",NA
"http://www.wikidata.org/entity/Q60584175","tt9894894","Caviar","2019 film by Elena Tikhonova",NA
"http://www.wikidata.org/entity/Q61657535","tt9806222","How I taught myself to be a child","2019 film directed by Rupert Henning",NA
"http://www.wikidata.org/entity/Q64689191","tt0227097","The Myths of Mental Illness","1988 film directed by Pierre Lasry",NA
"http://www.wikidata.org/entity/Q65563101","tt0220583","I Love You","1974 film directed by Pierre Duceppe",NA
"http://www.wikidata.org/entity/Q66970894","tt0077127","The Swiss Affair","film directed by Max Peter Ammann",NA
"http://www.wikidata.org/entity/Q87485294","tt0477860","Sevimli Haydut","1971 film directed by Mehmet Aslan",NA
"http://www.wikidata.org/entity/Q87746124","tt0478693","Kanunsuz Sokak","1971 film directed by Melih Gülgen",NA
"http://www.wikidata.org/entity/Q88669259","tt8912128","Ella es Cristina","chilean film",NA
"http://www.wikidata.org/entity/Q92748227","tt0041875","Q92748227","film directed by Gustav Ucicky",NA
"http://www.wikidata.org/entity/Q98114627","tt9346948","Rigged:  The voter suppression playbook","a movie on voter suppression in the US",NA
"http://www.wikidata.org/entity/Q98807217","tt0044187","Vienna as It Was","1951 film by Ernst Marischka",NA
"http://www.wikidata.org/entity/Q99484019","tt0364768","Q99484019","1988 film directed by Gitta Nickel",NA
"http://www.wikidata.org/entity/Q101424829","tt0196230","Zweierlei Blut","1912 silent film by Jacob Fleck and Luise Fleck",NA
"http://www.wikidata.org/entity/Q104519484","tt0051632","Frauensee","1958 film by Rudolf Jugert",NA
"http://www.wikidata.org/entity/Q104897073","tt8873624","Boys from the Mountains","film directed by Tomáš Magnusek",NA
"http://www.wikidata.org/entity/Q106717208","tt0083814","Q106717208","1982 film by Herbert Achternbusch",NA
"http://www.wikidata.org/entity/Q106717408","tt0095594","Martha Jellneck","1988 film by Kai Wessel",NA
"http://www.wikidata.org/entity/Q106765979","tt0195727","Q106765979","film",NA
"http://www.wikidata.org/entity/Q107074028","tt1024218","Q107074028","film",NA
"http://www.wikidata.org/entity/Q108105043","tt14814320","MINSK","2021 film directed by Boris Guts",NA
"http://www.wikidata.org/entity/Q110323704","tt4535886","Q110323704","film",NA
"http://www.wikidata.org/entity/Q110323748","tt0138838","Q110323748","film",NA
"http://www.wikidata.org/entity/Q111434609","tt12160044","Dinner for Eight","2022 film directed by Bernhard Ratka",NA
"http://www.wikidata.org/entity/Q111802361","tt0138072","Salama (1986)","1986 film directed by Anssi Mänttäri",NA
"http://www.wikidata.org/entity/Q113029238","tt20220796","Emuthi Puthi - A Very Fishy Trip","Assamese movie",NA
"http://www.wikidata.org/entity/Q113269780","tt20452514","Melchior the Apothecary. The Ghost","2022 film directed by Elmo Nüganen",NA
"http://www.wikidata.org/entity/Q115592724","tt0860415","Q115592724","1948 film directed by Alfons Benesch",NA
"http://www.wikidata.org/entity/Q115935338","tt0389320","Q115935338","1985 film by Dieter Funk",NA
"http://www.wikidata.org/entity/Q115940995","tt21874630","Kalev","2022 film directed by Ove Musting",NA
"http://www.wikidata.org/entity/Q118653276","tt3881668","Samba & Jazz","documentary",NA
"http://www.wikidata.org/entity/Q120671238","tt0171460","The Limping Devil","1968 film by Juraj Herz",NA
"http://www.wikidata.org/entity/Q122481032","tt5080094","Cavalcade of Variety","1940 film",NA
"http://www.wikidata.org/entity/Q122481254","tt0156073","Sri Rajeshwari Vilas Coffee Club","1976 film",NA
"http://www.wikidata.org/entity/Q122583741","tt13032926","Love It Was Not","film",NA
"http://www.wikidata.org/entity/Q110664578","tt17278510","Jatt Brothers","2022 film directed by Manav Shah","https://en.wikipedia.org/wiki/Jatt_Brothers"
"http://www.wikidata.org/entity/Q111684978","tt15679400","Knock at the Cabin","American film by M. Night Shyamalan","https://en.wikipedia.org/wiki/Knock_at_the_Cabin"
"http://www.wikidata.org/entity/Q113330175","tt14586118","Driving Madeleine","2022 film directed by Christian Carion","https://en.wikipedia.org/wiki/Driving_Madeleine"
"http://www.wikidata.org/entity/Q113402105","tt12740760","Phone Bhoot","2022 film directed by Gurmmeet Singh","https://en.wikipedia.org/wiki/Phone_Bhoot"
"http://www.wikidata.org/entity/Q113455828","tt20850406","Sita Ramam","2022 film directed by Hanu Raghavapudi","https://en.wikipedia.org/wiki/Sita_Ramam"
"http://www.wikidata.org/entity/Q115812648","tt21480388","Yaar Mera Titliaan Warga","2022 Indian Punjabi-language film","https://en.wikipedia.org/wiki/Yaar_Mera_Titliaan_Warga"
"http://www.wikidata.org/entity/Q116553072","tt11086194","Thankam","2023 Indian film directed by Saheed Arafath","https://en.wikipedia.org/wiki/Thankam_(film)"
"http://www.wikidata.org/entity/Q116825129","tt14091152","Dollu","2022 Indian film","https://en.wikipedia.org/wiki/Dollu_(film)"
"http://www.wikidata.org/entity/Q117850756","tt11623854","Varayan","2022 film directed by Jijo Joseph","https://en.wikipedia.org/wiki/Varayan"
"http://www.wikidata.org/entity/Q119133711","tt15554526","Dear Father","2022 Indian film","https://en.wikipedia.org/wiki/Dear_Father_(2022_film)"
"http://www.wikidata.org/entity/Q119686516","tt11633774","No es lo que parece","2021 film directed by David Maler","https://en.wikipedia.org/wiki/No_es_lo_que_parece"
"http://www.wikidata.org/entity/Q120326801","tt18453866","The Universal Theory","2023 film by Timm Kröger","https://en.wikipedia.org/wiki/The_Universal_Theory"
"http://www.wikidata.org/entity/Q122028800","tt27775628","Legends of the Winding Road","2023 Estonian film","https://en.wikipedia.org/wiki/Legends_of_the_Winding_Road"
"http://www.wikidata.org/entity/Q1169840","tt0062019","Das Mädchen auf dem Brett","1967 film by Kurt Maetzig","https://en.wikipedia.org/wiki/Das_M%C3%A4dchen_auf_dem_Brett"
"http://www.wikidata.org/entity/Q2921662","tt0094788","Bouka","1988 film by Roger Gnoan Mbala","https://en.wikipedia.org/wiki/Bouka_(film)"
"http://www.wikidata.org/entity/Q3620984","tt0055755","Appuntamento in Riviera","1962 film","https://en.wikipedia.org/wiki/Appuntamento_in_riviera"
"http://www.wikidata.org/entity/Q3764984","tt0097433","Gioco al massacro","1989 film by Damiano Damiani","https://en.wikipedia.org/wiki/Massacre_Play"
"http://www.wikidata.org/entity/Q4547014","tt1603778","10th Class","2006 film directed by Chandu","https://en.wikipedia.org/wiki/10th_Class"
"http://www.wikidata.org/entity/Q4822003","tt0152994","Auntie's Fantasies","1941 film","https://en.wikipedia.org/wiki/Auntie%27s_Fantasies"
"http://www.wikidata.org/entity/Q5194502","tt0008984","Cupid Angling","1918 film","https://en.wikipedia.org/wiki/Cupid_Angling"
"http://www.wikidata.org/entity/Q5520925","tt0886672","Gang Leader","1991 Telugu film directed by Vijaya Bapineedu","https://en.wikipedia.org/wiki/Gang_Leader"
"http://www.wikidata.org/entity/Q6455490","tt0124974","L'Absent","1997 film directed by Céline Baril","https://en.wikipedia.org/wiki/The_Absent_One"
"http://www.wikidata.org/entity/Q7450599","tt4978192","Sengottai","1996 film","https://en.wikipedia.org/wiki/Sengottai_(film)"
"http://www.wikidata.org/entity/Q7511953","tt10122538","Sigaram","1991 Tamil film directed by Ananthu","https://en.wikipedia.org/wiki/Sigaram"
"http://www.wikidata.org/entity/Q7728299","tt0122574","The Cry","1964 film by Jaromil Jireš","https://en.wikipedia.org/wiki/The_Cry_(1964_film)"
"http://www.wikidata.org/entity/Q7928158","tt0274196","Vidya","1948 film","https://en.wikipedia.org/wiki/Vidya_(film)"
"http://www.wikidata.org/entity/Q7937547","tt13979680","Vivaramana Aalu","2002 Tamil film directed by K. Selva Bharathy","https://en.wikipedia.org/wiki/Vivaramana_Aalu"
"http://www.wikidata.org/entity/Q11825953","tt0097688","Kthimi i ushtrisë së vdekur","1989 Albanian film by Dhimitër Anagnosti","https://en.wikipedia.org/wiki/The_Return_of_the_Dead_Army"
"http://www.wikidata.org/entity/Q15221252","tt1385966","Rajanadai","1989 Tamil film directed by S. A. Rajendran","https://en.wikipedia.org/wiki/Rajanadai"
"http://www.wikidata.org/entity/Q16250023","tt14521116","Kamalatho Naa Prayanam","2013 Telugu film directed by Narasimha Nandi","https://en.wikipedia.org/wiki/Kamalatho_Naa_Prayanam"
"http://www.wikidata.org/entity/Q106509040","tt0135745","After Midnight","1938 film","https://en.wikipedia.org/wiki/After_Midnight_(1938_film)"
"http://www.wikidata.org/entity/Q107210883","tt9357838","What We Left Unfinished","2019 film by Mariam Ghani","https://en.wikipedia.org/wiki/What_We_Left_Unfinished"
"http://www.wikidata.org/entity/Q107394970","tt1001520","The Last Voyage of the Demeter","2023 American horror film by André Øvredal","https://en.wikipedia.org/wiki/The_Last_Voyage_of_the_Demeter"
"http://www.wikidata.org/entity/Q108347930","tt15340570","Shava Ni Girdhari Lal","2021 film directed by Gippy Grewal","https://en.wikipedia.org/wiki/Shava_Ni_Girdhari_Lal"
"http://www.wikidata.org/entity/Q108782567","tt14182646","Vendhu Thanindhathu Kaadu","Tamil film directed by Gautham Vasudev Menon","https://en.wikipedia.org/wiki/Vendhu_Thanindhathu_Kaadu"
"http://www.wikidata.org/entity/Q110263876","tt15327256","Viruman","film directed by M Muthaiah","https://en.wikipedia.org/wiki/Viruman"
"http://www.wikidata.org/entity/Q16948202","tt0051812","Kasaři","1958 film directed by Pavel Blumenfeld","https://en.wikipedia.org/wiki/Kasa%C5%99i"
"http://www.wikidata.org/entity/Q17629966","tt0009187","His Temporary Wife","1920 film by Joseph Levering","https://en.wikipedia.org/wiki/His_Temporary_Wife"
"http://www.wikidata.org/entity/Q19720657","tt0231768","Husn Ka Daku","1929 film by Abdur Rashid Kardar","https://en.wikipedia.org/wiki/Husn_Ka_Daku"
"http://www.wikidata.org/entity/Q21646432","tt0129952","General Babka","1930 film by Dezső Kertész","https://en.wikipedia.org/wiki/General_Babka_(1930_film)"
"http://www.wikidata.org/entity/Q21869342","tt1058715","Fiat Lux","1923 film by Wilhelm Thiele","https://en.wikipedia.org/wiki/Fiat_Lux_(film)"
"http://www.wikidata.org/entity/Q41367564","tt6589330","The Last of Us","2016 film by Ala Eddine Slim","https://en.wikipedia.org/wiki/The_Last_of_Us_(film)"
"http://www.wikidata.org/entity/Q42048221","tt15007420","A Man for the Weekend","2017 film directed by Achille Brice","https://en.wikipedia.org/wiki/A_Man_for_the_Weekend"
"http://www.wikidata.org/entity/Q54666523","tt6870750","Lila's Book","2017 animated film","https://en.wikipedia.org/wiki/Lila%27s_Book"
"http://www.wikidata.org/entity/Q55065266","tt0197881","The Silent Barrier","1920 film directed by William Worthington","https://en.wikipedia.org/wiki/The_Silent_Barrier"
"http://www.wikidata.org/entity/Q56678809","tt0130640","The Drivin' Fool","1923 film directed by Robert Thornby","https://en.wikipedia.org/wiki/The_Drivin%27_Fool"
"http://www.wikidata.org/entity/Q60737668","tt8042132","Kaalidas","film","https://en.wikipedia.org/wiki/Kaalidas"
"http://www.wikidata.org/entity/Q63537012","tt10283234","Ratrir Jatri","Movie","https://en.wikipedia.org/wiki/Ratrir_Jatri"
"http://www.wikidata.org/entity/Q63928961","tt0018103","The Lost Limited","1927 film","https://en.wikipedia.org/wiki/The_Lost_Limited"
"http://www.wikidata.org/entity/Q66588922","tt9761042","Nobadi","2019 film by Karl Markovics","https://en.wikipedia.org/wiki/Nobadi"
"http://www.wikidata.org/entity/Q69580036","tt0013610","Smiles Are Trumps","1922 film directed by George Marshall","https://en.wikipedia.org/wiki/Smiles_Are_Trumps"
"http://www.wikidata.org/entity/Q73791993","tt10217780","Kandasamys: The Wedding","2019 film directed by Jayan Moodley","https://en.wikipedia.org/wiki/Kandasamys:_The_Wedding"
"http://www.wikidata.org/entity/Q85797435","tt10883302","Roberrt","2021 film directed by Tharun Sudhir","https://en.wikipedia.org/wiki/Roberrt"
"http://www.wikidata.org/entity/Q85997053","tt10665342","Halloween Ends","2022 film directed by David Gordon Green","https://en.wikipedia.org/wiki/Halloween_Ends"
"http://www.wikidata.org/entity/Q89076857","tt1640532","Without Witnesses","1919 film","https://en.wikipedia.org/wiki/Without_Witnesses"
"http://www.wikidata.org/entity/Q96386346","tt10934216","Kozhipporu","2020 Malayalam film","https://en.wikipedia.org/wiki/Kozhipporu"
"http://www.wikidata.org/entity/Q96393943","tt11536262","Mosagallu","2020 film by Jeffrey Gee Chin","https://en.wikipedia.org/wiki/Mosagallu"
"http://www.wikidata.org/entity/Q96398046","tt10229794","Paapam Cheyyathavar Kalleriyatte","2020 Malayalam Film","https://en.wikipedia.org/wiki/Paapam_Cheyyathavar_Kalleriyatte"
"http://www.wikidata.org/entity/Q96408052","tt7247410","Thatrom Thookrom","2020 film directed by Arul S","https://en.wikipedia.org/wiki/Thatrom_Thookrom"
"http://www.wikidata.org/entity/Q98931267","tt11276598","Pets United","2019 animated film directed by Reinhard Klooss","https://en.wikipedia.org/wiki/Pets_United"
"http://www.wikidata.org/entity/Q99900595","tt12593682","Bullet Train","2022 film directed by David Leitch","https://en.wikipedia.org/wiki/Bullet_Train_(film)"
